Injection,Layer,TensorIndex,Bit
0,conv2d,"(2, 1, 0, 3)",15
1,conv2d,"(2, 0, 0, 7)",5
2,conv2d,"(0, 0, 0, 13)",30
3,conv2d,"(2, 0, 2, 7)",12
4,conv2d,"(1, 2, 0, 13)",17
5,conv2d,"(2, 1, 0, 0)",21
6,conv2d,"(0, 1, 0, 8)",6
7,conv2d,"(0, 1, 1, 2)",22
8,conv2d,"(2, 1, 0, 8)",7
9,conv2d,"(2, 1, 0, 12)",23
10,conv2d,"(0, 0, 2, 6)",14
11,conv2d,"(0, 0, 0, 9)",24
12,conv2d,"(2, 1, 1, 8)",10
13,conv2d,"(0, 2, 1, 11)",17
14,conv2d,"(2, 0, 2, 2)",15
15,conv2d,"(1, 1, 1, 5)",14
16,conv2d,"(0, 0, 0, 10)",20
17,conv2d,"(0, 0, 1, 12)",20
18,conv2d,"(1, 1, 2, 6)",29
19,conv2d,"(0, 0, 1, 4)",16
20,conv2d,"(1, 1, 2, 13)",14
21,conv2d,"(1, 0, 2, 4)",3
22,conv2d,"(2, 0, 0, 3)",27
23,conv2d,"(1, 2, 1, 2)",29
24,conv2d,"(0, 2, 2, 8)",7
25,conv2d,"(1, 0, 2, 8)",18
26,conv2d,"(1, 0, 0, 13)",16
27,conv2d_1,"(2, 1, 3, 5)",12
28,conv2d_1,"(0, 2, 11, 4)",0
29,conv2d_1,"(0, 0, 15, 10)",23
30,conv2d_1,"(0, 0, 7, 9)",5
31,conv2d_1,"(0, 2, 15, 2)",8
32,conv2d_1,"(2, 0, 15, 4)",16
33,conv2d_1,"(2, 2, 6, 13)",12
34,conv2d_1,"(2, 2, 12, 9)",23
35,conv2d_1,"(0, 0, 14, 14)",14
36,conv2d_1,"(0, 2, 10, 2)",14
37,conv2d_1,"(0, 2, 0, 7)",3
38,conv2d_1,"(0, 1, 2, 7)",4
39,conv2d_1,"(2, 1, 8, 7)",13
40,conv2d_1,"(0, 1, 15, 4)",26
41,conv2d_1,"(0, 2, 3, 6)",27
42,conv2d_1,"(1, 1, 13, 11)",3
43,conv2d_1,"(1, 2, 1, 3)",21
44,conv2d_1,"(0, 0, 7, 3)",28
45,conv2d_1,"(0, 1, 13, 4)",29
46,conv2d_1,"(1, 2, 2, 7)",6
47,conv2d_1,"(0, 0, 0, 1)",10
48,conv2d_1,"(1, 0, 15, 13)",25
49,conv2d_1,"(1, 0, 5, 1)",24
50,conv2d_1,"(1, 1, 14, 8)",31
51,conv2d_1,"(1, 0, 6, 4)",3
52,conv2d_1,"(0, 0, 10, 1)",30
53,conv2d_1,"(2, 0, 1, 5)",11
54,conv2d_1,"(2, 0, 2, 2)",25
55,conv2d_1,"(2, 2, 7, 3)",2
56,conv2d_1,"(2, 2, 13, 2)",20
57,conv2d_1,"(2, 2, 6, 8)",20
58,conv2d_1,"(1, 0, 8, 7)",19
59,conv2d_1,"(0, 0, 10, 14)",29
60,conv2d_1,"(2, 0, 2, 3)",16
61,conv2d_1,"(0, 0, 11, 4)",23
62,conv2d_1,"(1, 2, 5, 9)",19
63,conv2d_1,"(2, 0, 9, 0)",8
64,conv2d_1,"(0, 2, 3, 8)",9
65,conv2d_1,"(2, 0, 9, 8)",21
66,conv2d_1,"(2, 1, 8, 6)",16
67,conv2d_1,"(2, 1, 2, 1)",17
68,conv2d_1,"(1, 0, 0, 1)",16
69,conv2d_1,"(2, 2, 14, 5)",27
70,conv2d_1,"(0, 2, 3, 0)",9
71,conv2d_1,"(2, 2, 11, 1)",9
72,conv2d_1,"(0, 1, 4, 13)",23
73,conv2d_1,"(0, 2, 11, 1)",15
74,conv2d_1,"(2, 1, 11, 3)",9
75,conv2d_1,"(0, 1, 5, 7)",1
76,conv2d_1,"(1, 2, 10, 5)",15
77,conv2d_1,"(2, 0, 5, 8)",24
78,conv2d_1,"(0, 0, 15, 1)",29
79,conv2d_1,"(0, 0, 9, 11)",1
80,conv2d_1,"(1, 1, 12, 6)",4
81,conv2d_1,"(2, 2, 11, 8)",25
82,conv2d_1,"(0, 1, 0, 10)",11
83,conv2d_1,"(0, 2, 1, 8)",27
84,conv2d_1,"(1, 2, 10, 11)",7
85,conv2d_1,"(1, 0, 6, 12)",27
86,conv2d_1,"(1, 1, 6, 0)",4
87,conv2d_1,"(2, 0, 10, 10)",19
88,conv2d_1,"(1, 1, 13, 9)",18
89,conv2d_1,"(1, 2, 6, 4)",24
90,conv2d_1,"(1, 2, 9, 5)",0
91,conv2d_1,"(0, 1, 9, 9)",20
92,conv2d_1,"(1, 2, 14, 14)",13
93,conv2d_1,"(2, 0, 5, 15)",18
94,conv2d_1,"(0, 2, 2, 10)",19
95,conv2d_1,"(0, 0, 6, 7)",2
96,conv2d_1,"(2, 0, 15, 7)",29
97,conv2d_1,"(2, 2, 6, 13)",24
98,conv2d_1,"(0, 0, 12, 15)",0
99,conv2d_1,"(0, 0, 13, 3)",29
